0,2.05,Once there was a girl.,སྔོན་མ་ སྔོན་མ་ བོུ་ གཞི་ ཡོད་རེད་ད་ ར །
2.05,3.544,and then,ཨ་ནི་ འོ་ འདི་ ཡོད་བ །
3.544,5.601,She really loves to play.,རྩེད་མོ་ རྩེ་ ཡ་ དགའ་བོ་ དཔེ་ ཡོད་རེད་ ར །
5.601,11.565,"And then, she thought she would play outside the world.",ཨ་ནི་ མོ་ ཡོད་བ་ བསམ་བློ་ ནང་ལོགས་ ལ་ ཨ་ནི་ མོ་ འཛམ་གླིང་གི་ ཕྱི་ལོགས་ ལ་ རྩེད་ ག་ འགྲོ་ དགོས་ བསམ་ གྱི་ ཡོད་རེད་ད་ ར །
11.565,13.972,Then dinosaurs.,??? ཨ་ནི་ མོ་ ཡོད་བ་ dinosaur
13.972,21.443,played with dinosaurs which were bought by her mother. Then in her mind.,Dinosaur དེ་ ཚོ་ མཉམ་ དུ་ ནང་ ལ་ ཨ་ནི་ ཨ་མ་ཡི་ ཉོས་ ཞག་ ཡོད་ ར ། དེ་ ཚོ་ མཉམ་ དུ་ རྩེད་མོ་ རྩེ་ དགོས་ རེད ། ཨ་ནི་ ཡང་མོ ས་ སེམས་པ་ ནང་ ཡང་མོ་ཡི་ ཡང་ །
21.443,25.12,"like dinosaurs ,like real dinosaurs and crocodiles.",Dinosaur འདྲ་བོ་ དངོས་ ནས་ ག་ ཅི་ Dinosaur དང་ ཆུ་སྲིན་ འདྲ་བོ །
25.12,33.611,"thought to go, then she was in the middle of the road. She pretended to fight  though no one was there.",འགྲོ་ གོ་ བསམ་ གྱི་ ཡོད་རེད་ད་ ར ། ཨ་ནི་ ཡང་མོ་ ཡོད་བ ། ལམ་ཁ་ དཀྱིལ་མ་ ལ་ འགྲོ་ དུས་སྐབས་ ལ་ ཡང་མོ་ ཡོད་བ ། མི་ མེད་ ཉན་ མི་ མེད་ ནས་ འཛིང་ གྱོག་ འདྲ་བོ་ བྱེད་ ཡོད་རེད་ད་ ར །
33.611,41.436,"and then, she pretended to kick the ball though there was no ball.",ཨ་ནི་ ཡང་མོ་ ཡོད་བ་ ball མེད་ ནས་ ball མེད་ ནས་ ཨ་ནི་ ཡོད་བ ། མོས་ཡི་ ཡོད་བ་ གཞུ་ གྱོག་ འདྲ་བོ་ བྱེད་ ཀྱི་ ཡོད་རེད །
41.436,46.034,Then she planted flowers and at the same time she looked .,ཨ་ནི་ ཡང་མོ་ མེ་ཏོག་ བཏབ་ བྱེད་ ཀྱི་ ཡོད་རེད་ ཡང་མོ་ཡི་ གཅིག་ ལྟ་ ལྟ་ཡི་ ཡོད་རེད་ད་ ར །
46.034,50.476,She experimented like a scientist then sometimes she played drums.,ཚན་རིག་པ་ འདྲ་བོ་ བརྟག་དཔྱད་ བྱེད་ ཀྱི་ ཡོད་རེད ། ཨ་ནི་ ཡངམཚམས་ མཚམས་ མོ་ཡི་ ཡོད་བ་ ཨ་ནི་ drum རྡུང་ །
50.476,59.3,"Then, In the future she thought of becoming a drum player. So far she has stayed all alone.",གི་ ཡོད་རེད ། ཨ་ནི་ ཡོད་ བ་མོ་ རང་ རྗེས་མ་ ལ་ drum རྡུང་ ཉན་ ཞིག་ བྱེད་ ཡ་ ཡིན་ བསམ་ ར ། ཨ་ནི་ མོ་ མོ་རང་ གཅིག་པུ་ བྱས་ བསྡད་ བསྡད་ ཡོད་རེད །